Title,Developer(s)
Dragon Quest Characters: Torneko no Daibōken 3 Advance - Fushigi no Dungeon,Rakish
Dragon Quest Monsters: Caravan Heart,TOSE
Dragon Tales: Dragon Adventures,Handheld Games
Dragon's Rock PAL • Dragon's Rock: Drachenfels DE,Independent Arts
Drake & Josh,Artificial Mind and Movement
Drill Dozer NA • Screw Breaker: Goushin Dorirurero JP,Game Freak
Driv3r,V3D Production
Driven,Crawfish Interactive
Driver 2 Advance,Sennari Interactive
Drome Racers,Möbius Entertainment
Droopy's Tennis Open,Bit Managers
Dual Blades,Vivid Image
Duel Masters,Amble
Duel Masters: Kaijudo Showdown,Mistic Software
Duel Masters: Sempai Legends,Mistic Software
Duel Masters: Shadow of the Code,Mistic Software
Duel Masters 2: Invincible Advance,Amble
Duel Masters 2: Kirifuda Shoubu Version,Amble
Duel Masters 3,Amble
Duke Nukem Advance,Torus Games
Dungeons & Dragons: Eye of the Beholder,Pronto Games
Dynasty Warriors Advance • Shin Sangoku Musou Advance JP,TOSE
Earthworm Jim,Game Titan
Earthworm Jim 2,Super Empire
Ecks vs. Sever,Crawfish Interactive
"Ed, Edd n Eddy: Jawbreakers!",Crawfish Interactive
"Ed, Edd n Eddy: The Mis-Edventures",Artificial Mind and Movement
Egg Mania: Eggstreme Madness NA • Eggo Mania PAL • Tsukande! Mawashite! Dossun Pazuru Eggo Mania JP,HotGen
Elemix!,SIMS
Elevator Action Old & New,Taito Corporation
Elf: The Movie,HumanSoft
Elf Bowling 1 & 2,Black Lantern Studios
Enchanted: Once Upon Andalasia,Artificial Mind and Movement
Eragon,Amaze Entertainment
Erementar Gerad: Huuin Sarashi Kyou (Elemental Gelade: Tozasareshi Uta),Jupiter
