Title,Developer(s)
Mega Turrican,Factor 5
Menacer 6-Game Cartridge,Sega
Mercs Senjou no Ookami IIJP,Sega
Metal Fangs,Victor Entertainment
Michael Jackson's Moonwalker,Sega
Mickey Mania: The Timeless Adventures of Mickey Mouse,Traveller's Tales
Mickey's Ultimate Challenge,Designer Software
Micro Machines,Codemasters
Micro Machines 2: Turbo Tournament,Codemasters
Micro Machines: Turbo Tournament 96,Codemasters
Micro Machines Military,Supersonic Software
Midnight Resistance,Data East ISCO Opera House
MiG-29 Fighter Pilot,The Kremlin PanelComp
Might and Magic II: Gates to Another World,New World Computing
Mighty Morphin Power Rangers,"Nova Co., Ltd"
Mighty Morphin Power Rangers: The Movie,SIMS
Mike Ditka Power Football,Ballistic
Minnesota Fats: Pool Legend,Data East
The Miracle Piano Teaching System,Software Toolworks
MLBPA Baseball,High Score Productions
Monopoly,Sculptured Software
Monster World IV,Westone
Mortal Kombat,Probe Software
Mortal Kombat II,Probe Software
Mortal Kombat 3,Sculptured Software
Mr. Nutz,Ocean Software
Ms. Pac-Man,Tengen
Muhammad Ali Heavyweight Boxing,Park Place Productions
MUSHA Musha AlesteJP,Compile
Mutant Chronicles: Doom Troopers,Adrenalin
Mutant League Football,Mutant Productions
Mutant League Hockey,Mutant Productions
Mystic Defender,Sega
Mystical Fighter,KID
Nakajima Satoru Kanshū F1 Grand Prix,Varie
Nakajima Satoru Kanshū F1 Super License,Aprinet Varie
NBA Action '94,Sega
NBA Action '95 Starring David Robinson,Double Diamond Sports
NBA All-Star Challenge,Beam Software
NBA Hangtime,Funcom
NBA Jam,Iguana Entertainment
NBA Jam Tournament Edition,Iguana Entertainment
NBA Live 95,Hitmen Productions EA Canada
NBA Live 96,Hitmen Productions EA Canada
NBA Live 97,NuFX Hitmen Productions
NBA Live 98,NuFX Tiertex
NBA Showdown '94 NBA ShowdownPAL NBA Pro Basketball '94JP,EA Creative Development
NCAA Final Four Basketball,Bitmasters
NCAA Football,Software Toolworks
Nekketsu Koukou Dodgeball-bu: Soccer-hen MD,Aspect
New 3D Golf Simulation: Devil's Course,T&E Soft
New 3D Golf Simulation: Harukanaru Augusta,T&E Soft
New 3D Golf Simulation: Waialae no Kiseki,T&E Soft
Newman/Haas IndyCar featuring Nigel Mansell,Gremlin Graphics
The NewZealand Story,Taito
NFL '95,Double Diamond Sports
NFL Football '94 Starring Joe Montana,BlueSky Software
NFL Prime Time '98,Spectacular Games
NFL Quarterback Club,Iguana Entertainment
NFL Quarterback Club 96,Iguana Entertainment
NFL Sports Talk Football '93,BlueSky Software
NHK Taiga Drama: Taiheiki,Tose
NHL '94,High Score Productions
NHL 95,High Score Productions Double Diamond Sports
NHL 96,High Score Entertainment
NHL 97,High Score Entertainment
NHL 98,High Score Entertainment
NHL All-Star Hockey '95,Sega Midwest Studio New Wave Graphics
NHL Hockey EA HockeyPAL Pro HockeyJP,Park Place Productions
NHLPA Hockey '93,EA Studios
Nigel Mansell's World Championship Racing,Gremlin Graphics
Nightmare Circus,Funcom
Ninja Burai Densetsu,Sega
No Escape,Bits Corporation
Nobunaga no Yabō: Bushō Fūnroku,Koei
Nobunaga no Yabō: Haōden,Koei
Nobunaga's Ambition,Koei
Normy's Beach Babe-O-Rama,High Score Productions Realtime Associates
Olympic Gold: Barcelona '92,Tiertex
Olympic Summer Games: Atlanta 1996,Tiertex
Onslaught,Code Monkeys Ltd.
The Ooze,Sega Technical Institute
Operation Europe: Path to Victory Europa SensenJP,Koei
Osomatsu-kun: Hachamecha Gekijō,Sega
The Ottifants,Graftgold
Outback Joey,Heartbeat
Outlander,Graftgold
Out Run,SIMS Hertz
OutRun 2019,Hertz
OutRunners,Sega AM1
P.T.O.: Pacific Theater of Operations Teitoku no KetsudanJP,Koei
Pac-Attack Pac-PanicPAL,Namco
Pac-Man 2: The New Adventures,Namco
Pac-Mania,Sculptured Software
Pachinko Kūnyan,Soft Vision I.S.C.
The Pagemaster,Probe Software Atod AB
Panorama Cotton,Success
Paperboy,Motivetime
Paperboy 2,Tengen
Party Quiz Mega Q,Sega
Pat Riley Basketball Super Real BasketballJP/PAL,Sega
Pebble Beach Golf Links,T&E Soft
Pelé II: World Tournament Soccer Pelé's World Tournament SoccerPAL,Radical Entertainment
Pelé!,Radical Entertainment
Pepenga Pengo,JSH Sega
Pete Sampras Tennis,Codemasters
PGA European Tour,Polygames
PGA Tour 96,NuFX Hitmen Productions
PGA Tour Golf,Sterling Silver Software
PGA Tour Golf II,Polygames
PGA Tour Golf III,Polygames High Score Productions
Phantasy Star Fukkokuban,Sega
Phantasy Star II,Sega
Phantasy Star III: Generations of Doom,Sega
Phantasy Star IV: The End of the Millennium,Sega
Phantom 2040,Illusions
Phelios,Namco
Pink Goes To Hollywood,Headgames Manley & Associates Nu Romantic Productions
Pinocchio,Virgin Interactive Entertainment
The Pirates of Dark Water,Iguana Entertainment
Pirates! Gold,MicroProse
Pit-Fighter,Sterling Silver Software
Pitfall: The Mayan Adventure,Redline Games
Pocahontas,Funcom
Populous,Bullfrog Productions
Power Drive,Rage Software
Powermonger,Bullfrog Productions Sprytes
Powerball Wrestle BallJP,Namco
Predator 2,Teeny Weeny Games Krisalis Software
Premier Manager,Realms of Fantasy Gremlin Interactive
Premier Manager 97,Gremlin Interactive
Primal Rage,Probe Entertainment
Prime Time Football '96,Spectacular Games
Prince of Persia,Domark
Pro Moves Soccer,Zyrinx
Pro Quarterback,Leland Interactive Media
Pro Striker Final Stage,Sega
Psy-O-Blade,T&E Soft GRC
Psycho Pinball,Codemasters
Puggsy,Traveller's Tales Krisalis Software
Pulseman,Game Freak
The Punisher,Sculptured Software
Puyo Puyo,Compile
Puyo Puyo Tsū,Compile
Puzzle & Action: Ichidant-R,Sega
Puzzle & Action: Tant-R,Sega
QuackShot Starring Donald Duck,Sega
Quad Challenge MegaTraXJP,Now Production
R.B.I. Baseball '93,Tengen
R.B.I. Baseball '94,Tengen
R.B.I. Baseball 3,Tengen
R.B.I. Baseball 4,Tengen
Race Drivin',Polygames
Radical Rex,Beam Software
Raiden Trad,Seibu Kaihatsu Beyond Interactive
Rainbow Islands Extra,Aisystem Tokyo
Rambo III,Sega
Rampart,Silicon Sorcery
Ranger X,GAU Entertainment
Ransei no Hasha,SystemSoft SPS
Rastan Saga II,Opera House
Red Zone,Zyrinx
The Ren & Stimpy Show: Stimpy's Invention,BlueSky Software
Rent a Hero,Sega AM2
The Revenge of Shinobi,Sega
Revolution X,Rage Software
Richard Scarry's Busytown,Novotrade
Rings of Power,Naughty Dog
Rise of the Robots,Data Design Interactive
Risk,Sculptured Software
Risky Woods Jashin DraxosJP,Dinamic Software Zeus Software
Ristar,Sega
Road Rash,Electronic Arts
Road Rash II,Electronic Arts
Road Rash 3,Monkey Do Productions
RoadBlasters,Sterling Silver Software
RoboCop 3,Ocean Software Eden Entertainment Krisalis Software
RoboCop Versus The Terminator,Virgin Games USA
Rock n' Roll Racing,Silicon & Synapse
Rocket Knight Adventures,Konami
Roger Clemens' MVP Baseball,Sculptured Software
Rolling Thunder 2,Namco
Rolling Thunder 3,Now Production
Rolo to the Rescue,Vectordean
Romance of the Three Kingdoms II,Koei
Romance of the Three Kingdoms III: Dragon of Destiny,Koei
Rugby World Cup '95,The Creative Assembly
Sagaia Darius IIJP,Taito
Saint Sword,Cyclone System
Sampras Tennis 96,Codemasters
Samurai Shodown,Saurus System Vision
Sangokushi Retsuden: Ransei no Eiyūtachi,Sega
Saturday Night Slam Masters,Capcom
Scooby-Doo Mystery,Illusions Gaming Company
SeaQuest DSV,Sculptured Software
Second Samurai,Psygnosis
Sensible Soccer: European Champions,Sensible Software
Sesame Street: Counting Cafe,Electronic Arts
Shadow Blasters,Sigma Pro-Tech
Shadow Dancer: The Secret of Shinobi,Sega
Shadow of the Beast,Reflections Interactive WJS Design
Shadow of the Beast II,Psygnosis
Shadowrun,BlueSky Software
Shanghai II: Dragon's Eye,Home Data
Shaq Fu,Delphine Software
Shi-Kin-Jou,Scap Trust Sunsoft
Shining Force,Sonic! Software Planning Climax Entertainment
Shining Force II,Sonic! Software Planning
Shining in the Darkness,Sonic! Software Planning Climax Entertainment
Shinobi III: Return of the Ninja Master,Sega
Shougi no Hoshi,Home Data
Shove It! ...The Warehouse Game Shijou Saidai no SoukobanJP,Thinking Rabbit NCS
Show do Milhão,Tectoy
Show do Milhão vol.2,Tectoy
Shura no Mon,SIMS
Side Pocket,Data East
The Simpsons: Bart vs. the Space Mutants,Arc Developments
The Simpsons: Bart's Nightmare,Sculptured Software
