Title,Developer(s)
Ghost Sweeper Mikami: Joreishi ha Nice Body,"Natsume Co., Ltd."
Ghoul Patrol,LucasArts
Ginga Eiyuu Densetsu: Senjutsu Simulation,Advance Communication Company
Ginga Sengoku Gun'yūden Rai,Angel
Gintama Oyakata no Jissen Pachinko Hisshouhou,Sammy Corporation
Gionbana,Nichibutsu
Go Go Ackman,Aspect
Go Go Ackman 2,Aspect
Go Go Ackman 3,Aspect
Go! Go! Dodge League,Now ProductionMebio Software
Goal! •Super Goal!EU •Super Cup SoccerJP,Tose
Gods,Bitmap Brothers
Godzilla: Kaijuu Daikessen •Godzilla: Destroy All MonstersNA,Alfa System
Gokinjo Boukentai,ITL
Gokujo Parodius! ～Kako no Eiko o Motomete～ [b],Konami
Gon,Tose
Goof Troop •Goofy to Max: Kaizoku Shima no DaiboukenJP,Capcom
GP-1,Atlus
GP-1: Part II •GP-1 Rapid StreamJP,Atlus
Gradius III [b],Konami
Granhistoria: Genshi Sekaiki,J-Force
The Great Battle II: Last Fighter Twin,
The Great Battle III,Sun L
The Great Battle IV,Sun L
The Great Battle V,Sun L
The Great Battle Gaiden 2: Matsuri da Wasshoi,
The Great Circus Mystery Starring Mickey & Minnie •Mickey to Minnie: Magical Adventure 2JP,Capcom
The Great Waldo Search,Radiance Software
GT Racing,Imagineer
GunForce,Bits Studios
Gunple: Gunman's Proof,Lenar
Gurume Sentai Barayarō,FupacWinds
Habu Meijin no Omoshiro Shougi,Access
Hagane: The Final Conflict •HAGANEJP,Red Company
Haisei Mahjong Ryouga,
Hakunetsu Pro Yakyuu '93: Ganba League,Sting Entertainment
Hakunetsu Pro Yakyuu '94: Ganba League 3,
Hal's Hole in One Golf •Jumbo Ozaki no Hole In OneJP,HAL Laboratory
Hamelin no Violin Tamaki,Daft
HammerLock Wrestling •Tenryuu Genichiro no Pro Wrestling RevolutionJP,Jaleco
Hana no Keiji: Kumo no Kanata ni,Tose
Hanke Hanafuda,
Hanafuda Ou,Electronics Application
"Hanjuku Hero: Aa, Sekaiyo Hanjukunare...!",Square
Hanna Barbera's Turbo Toons,Empire Interactive
Haō Taikei Ryū Knight,Japan Art Media
Hardball III,Accolade
Harley's Humongous Adventure •Kagakusha Harley no Haran BanjouJP,Visual Concepts
Harukanaru Augusta,T&E Soft
Harukanaru Augusta 2: Masters,T&E Soft
Harukanaru Augusta 3: Masters New,T&E Soft
Harvest Moon •Bokujou MonogatariJP [b],Pack-In-Video
Hashire Hebereke,Sunsoft
Hat Trick Hero 2,Neverland
Hatayama Hatch no Pro Yakyuu News! Jitsumei Han,Agenda
Hayashi Kaihou Kudan no Igo Oodou,
Hayazashi Nidan Morita Shogi,Random House
Hayazashi Nidan Morita Shogi 2,Random House
Hebereke no Oishii Puzzle: ha Irimasen ka,
Hebereke's Popoitto •Popoitto HeberekeJP,Sunsoft
Hebereke's Popoon,Sunsoft
Heian Fuuunden,"Natsume Co., Ltd."
Heisei Gunjin Shougi [a],
Heisei Inu Monogatari Bow: Pop'n Smash!!,
Heisei Shin Oni Ga Shima (Part 1),
Heisei Shin Oni Ga Shima (Part 2),
Heiwa Pachinko World,Office Koukan
Heiwa Pachinko World 2,
Heiwa Pachinko World 3,
Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game,
Hercules no Eikou III [b],Data East
Hercules no Eikou IV [b],Data East
Hero Senki: Project Olympus,Winkysoft
Higashio Osamu Kanshuu Super Pro Yakyuu Stadium,C-Lab
Hiouden: Mamono-tachi tono Chikai,Wolf Team
Hiryuu no Ken S: Hyper Version,Culture Brain
Hissatsu Pachinko Collection,
Hissatsu Pachinko Collection 2,
Hissatsu Pachinko Collection 3,
Hissatsu Pachinko Collection 4,
Hisshou 777 Fighter: Pachi-Slot Ryuuguu Densetsu,Jorudan
Hisshou 777 Fighter II: Pachi-Slot Maruhi Jouhou,Jorudan
Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu,Jorudan
Hisshou Pachi-Slot Fun,
Hit the Ice,Taito
Hokuto no Ken 5,Shouei
